@relation C

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute class {1,-1}

@DATA
-0.189834,-0.532207,-0.583871,0.099499,0.958196,-0.793877,0.680939,-0.460273,-0.540839,0.376818,1
-0.328827,0.608815,-0.253827,0.255903,0.913665,0.789044,0.774785,0.921274,-0.179892,-0.567584,1
-0.379990,-0.103885,0.781963,0.097261,-0.172506,-0.593875,-0.301991,-0.999965,0.144346,0.233721,-1
0.901536,0.601426,-0.723559,0.192494,-0.918245,0.593961,0.622576,-0.436108,-0.137505,-0.322946,-1
-0.654143,-0.320567,-0.749834,-0.346724,-0.220639,0.797086,-0.531321,-0.105990,-0.171422,-0.165062,-1
-0.717794,-0.504442,-0.331256,-0.431761,-0.956539,0.415913,-0.935620,-0.397394,-0.231355,-0.051045,-1
-0.843263,0.865292,-0.950129,0.443509,0.973410,-0.079968,0.221466,-0.975980,-0.311716,-0.065007,1
0.905309,-0.216428,0.837579,0.774332,0.962783,-0.126206,0.676349,-0.727330,0.264739,0.358910,1
-0.253439,-0.912413,-0.950192,0.100693,-0.071972,0.192686,-0.785934,0.414982,0.263257,0.057250,-1
0.069721,-0.430422,-0.111489,-0.621987,0.868763,-0.498907,0.697457,0.640065,-0.768193,-0.900985,1
0.492286,-0.121850,-0.977974,0.607260,-0.841900,-0.160547,-0.384645,0.740119,0.707001,-0.991736,-1
0.995348,-0.417016,-0.262199,0.952435,0.142171,-0.045222,0.254158,-0.154269,0.597548,-0.196503,1
0.293103,-0.161061,-0.521363,-0.144764,0.605107,0.161716,-0.278186,-0.269376,-0.984233,0.131104,1
-0.317693,-0.625554,-0.924340,-0.932831,0.546617,0.965763,-0.540453,0.636368,-0.040926,0.961052,-1
0.354014,0.352215,0.251306,-0.495394,0.499027,0.285468,-0.459146,0.470426,0.257865,-0.505998,-1
-0.319003,-0.927033,-0.056085,0.526116,0.598814,0.472373,-0.388078,0.274020,0.248975,0.114081,-1
0.718153,0.066940,-0.708890,-0.407447,0.460367,-0.248244,0.843491,0.948830,-0.700446,-0.124926,-1
-0.007881,0.649673,-0.685330,-0.933327,-0.477981,0.179474,0.487882,0.710168,0.740797,-0.122050,1
-0.883196,0.970475,0.828948,-0.997673,-0.599090,0.652325,-0.755874,0.628468,0.348833,-0.776645,-1
-0.550101,0.651243,-0.163135,-0.867391,-0.264987,0.192695,-0.363892,0.759832,0.758202,0.983524,-1
0.705461,-0.156862,0.823445,-0.917166,0.260905,-0.265492,0.699153,0.637008,0.805080,0.258618,1
0.486723,-0.791578,-0.441849,-0.909441,-0.611848,-0.236552,-0.151739,0.765570,0.576895,0.379596,-1
-0.334405,0.279016,-0.339271,-0.604455,0.495969,0.800102,-0.478399,-0.483051,-0.504290,-0.172233,-1
0.918763,0.602841,-0.206369,0.917061,0.382365,-0.960747,0.646365,0.764821,0.175727,0.203190,1
0.808901,-0.192795,0.765047,-0.021946,0.291095,0.839502,-0.055853,0.509771,-0.433813,0.741479,1
-0.664566,-0.804115,0.480352,0.430635,-0.007970,0.769251,0.036988,0.312174,-0.135113,0.826311,1
-0.805460,0.315680,0.323521,0.677391,0.350733,0.942301,0.874961,0.561428,-0.377745,-0.149091,-1
-0.341451,-0.297354,-0.683000,0.599630,0.718226,-0.496189,-0.666445,0.571813,0.149206,0.137700,-1
0.601719,-0.181528,0.164256,0.011032,0.927806,-0.413128,-0.934202,0.887663,-0.255332,0.493091,-1
-0.292840,-0.290822,-0.886051,0.803318,0.355386,0.698745,-0.645727,-0.142939,0.422549,0.769677,-1
-0.688111,0.503265,0.884279,0.904807,-0.947601,-0.657906,-0.691607,-0.152382,-0.176097,-0.126358,-1
-0.995301,-0.388877,0.722517,0.727253,-0.871000,0.437575,-0.477718,-0.176484,0.327654,-0.274319,-1
0.196104,0.697974,0.363373,-0.578088,0.724707,-0.173249,-0.591588,-0.656773,-0.630732,0.827666,-1
0.601533,-0.017629,0.499803,0.344199,0.937861,-0.784852,0.516743,-0.493384,-0.020003,0.652827,1
0.243058,0.117248,0.848038,-0.163849,-0.660292,0.033400,0.568500,-0.291511,-0.401390,0.685540,-1
0.361169,-0.284295,-0.519906,0.249541,0.584882,-0.887107,0.680865,0.915316,-0.410573,-0.413645,1
0.228331,0.033776,-0.202005,0.101194,0.719799,-0.167863,0.013148,-0.245611,0.398152,-0.195579,1
-0.638550,-0.342093,-0.485251,0.889830,0.580844,-0.830906,0.009087,-0.079860,0.506656,0.887295,1
-0.157220,-0.533963,-0.688346,0.640814,-0.933058,0.926373,0.787088,0.356794,-0.557483,0.639429,-1
-0.381474,-0.854429,-0.166182,-0.567877,0.170444,-0.402876,0.455784,-0.998779,0.689224,-0.136561,1
0.603456,0.717514,0.090498,-0.417337,0.840304,-0.374129,-0.078530,0.678796,0.783490,-0.167762,1
0.656068,-0.854111,-0.873542,-0.431408,0.109510,-0.441372,-0.945053,0.037766,0.220110,0.652828,-1
-0.065232,-0.670307,0.058641,-0.260651,0.074443,0.190156,-0.240848,-0.035186,0.159842,0.110020,-1
0.921165,0.899255,0.267347,-0.403177,-0.389450,0.807352,-0.718490,-0.891671,-0.307319,-0.156740,-1
-0.564381,-0.381836,0.773580,0.381006,0.911976,0.959889,0.595484,-0.670969,-0.974090,-0.397952,1
0.221225,-0.396250,-0.277194,0.591354,-0.487346,-0.161809,-0.613030,0.386374,-0.741712,-0.317321,-1
0.480698,0.215508,0.346958,0.047534,-0.579070,-0.175505,0.410287,-0.451290,-0.480086,0.985221,1
-0.239769,-0.484435,-0.712736,0.100044,-0.037569,-0.806452,0.254262,0.172283,0.297246,0.407350,1
-0.584304,0.290678,-0.195010,0.038139,0.916498,0.495436,0.823397,0.698889,-0.886958,-0.916295,1
0.040150,0.696087,-0.814919,-0.287314,-0.730950,0.277610,0.198609,0.717815,0.619364,-0.432109,-1
0.264458,-0.458969,-0.716183,0.788099,-0.870116,0.749507,-0.744560,-0.659974,0.355784,0.038021,-1
0.177769,0.649672,-0.607138,0.095400,-0.856236,-0.290871,-0.630989,0.579954,-0.508283,0.707412,-1
0.219886,-0.562659,0.526932,0.146091,-0.682202,-0.655451,0.721962,-0.128001,-0.276151,0.007803,-1
0.468153,-0.153698,-0.367944,0.530424,-0.280485,0.997518,0.508870,-0.536621,0.470969,0.859340,1
0.197184,0.813812,-0.317079,0.866438,0.169021,-0.690562,-0.272339,-0.887210,-0.368809,0.115888,-1
-0.856526,0.047294,-0.089297,-0.413493,0.896177,-0.707380,-0.994223,-0.301774,-0.861420,-0.360642,-1
0.529605,-0.472714,-0.723275,-0.315260,0.965058,-0.050391,-0.907543,0.395518,-0.282093,0.567361,-1
-0.869140,-0.165328,0.128764,0.436699,0.403764,-0.470809,0.249075,-0.153749,0.080555,0.234875,1
-0.474467,-0.631458,-0.187094,-0.152379,0.815021,-0.230154,-0.321519,0.851323,-0.688103,0.732169,1
0.611903,-0.584775,-0.104112,0.224334,0.400484,-0.510743,-0.407236,-0.594121,0.340069,0.587277,-1
-0.233804,0.976566,-0.886071,0.780188,-0.296797,0.954860,-0.076843,0.334651,0.951720,-0.992442,-1
-0.342637,0.299536,-0.306584,0.715743,-0.483576,0.787584,0.550575,0.970973,0.066823,0.482651,1
0.566214,0.969419,-0.237741,-0.130823,0.520377,-0.490660,0.663311,0.371047,-0.939949,-0.928446,1
0.942478,-0.341482,-0.809869,-0.727085,0.818760,-0.094008,-0.918973,-0.868172,-0.630619,-0.939316,-1
-0.873614,0.420819,-0.334069,0.151475,0.169667,-0.709586,0.563025,-0.595565,0.693422,-0.923290,1
0.419713,0.598397,0.809735,0.167703,-0.376309,-0.541841,0.971029,-0.718614,-0.623421,0.376713,-1
0.213522,-0.869380,-0.157028,-0.639018,-0.947135,-0.975029,0.151257,0.488339,-0.466067,-0.030931,-1
-0.685040,0.647993,0.714465,0.396654,-0.322602,0.761598,-0.564813,-0.568521,0.975333,-0.480346,-1
0.039192,0.533252,0.019243,0.232229,0.837467,-0.128983,0.506406,-0.800200,0.198302,0.955636,1
-0.394182,-0.228732,-0.977603,0.502335,-0.728389,0.669112,-0.670845,-0.562481,0.519616,0.904914,-1
-0.435773,-0.739847,0.172793,0.149224,0.629277,0.019053,-0.874383,-0.335926,-0.861714,-0.380728,-1
-0.624603,0.904223,-0.855313,0.113439,-0.198728,-0.304574,0.483781,-0.018949,-0.143872,-0.816695,1
0.520636,0.017762,0.660814,-0.113294,0.450797,-0.180708,0.469919,0.920848,0.425671,-0.101457,1
0.657925,0.321105,0.960058,-0.462826,0.700027,0.561607,0.015974,-0.596054,0.434881,0.832273,1
0.495960,-0.655887,-0.386775,0.785503,0.037807,-0.031866,0.360879,0.796550,0.818970,0.361221,1
-0.822875,0.977949,0.643007,-0.894399,0.053458,-0.155653,-0.437538,0.190384,0.302269,-0.368621,-1
0.693693,0.450516,-0.336650,0.334672,-0.735806,-0.553500,0.708344,0.723456,0.692807,-0.493841,-1
-0.620625,0.793477,-0.608311,-0.732165,-0.469467,0.297821,-0.714749,0.965201,-0.317184,0.729029,-1
0.989433,-0.868161,0.579303,-0.220171,-0.643472,-0.498629,0.123130,0.118368,0.460335,-0.149495,-1
0.448561,0.236211,0.833274,0.443644,-0.565233,0.224204,-0.020203,0.406214,0.529806,0.453666,-1
-0.368391,0.425391,-0.471423,0.340801,-0.338659,-0.674804,0.507476,-0.891188,0.560761,-0.213881,1
0.872920,0.648185,0.365555,0.552799,0.830687,-0.776023,0.080767,0.915629,-0.220925,0.178278,1
-0.786108,0.620254,-0.011490,-0.871823,0.574156,0.634641,0.786881,0.264838,0.818848,0.785149,1
0.395110,-0.242110,0.403810,-0.741056,0.310461,-0.368442,0.335860,0.763839,0.943292,0.941688,1
0.736585,0.839321,0.198410,-0.058330,-0.396383,0.964412,0.577837,-0.218307,-0.176134,0.501485,1
-0.544360,-0.424396,0.529440,0.603923,0.181054,0.625327,0.014367,-0.027668,0.363338,-0.007797,1
-0.739854,0.192139,0.633734,-0.348737,0.916142,0.670306,-0.291965,-0.810711,-0.494037,-0.939197,1
-0.844250,0.459504,-0.269723,-0.963576,-0.185949,0.003162,-0.095364,-0.474319,-0.749824,-0.322464,-1
0.745015,-0.907340,-0.033914,-0.605980,0.263925,-0.801084,0.287424,0.336976,-0.225903,0.795241,1
-0.826602,0.657592,0.931359,0.972825,0.474367,-0.835939,-0.438952,-0.217872,0.938753,0.638141,-1
0.776563,-0.145997,-0.346839,-0.096687,0.957912,0.432158,0.019512,-0.360164,-0.958182,0.391081,1
0.738834,0.959651,0.696774,0.882327,0.100433,-0.877398,0.532038,-0.473480,0.694625,0.654803,1
-0.152850,0.372057,0.702187,0.767100,-0.026721,0.447501,-0.231940,-0.652144,0.744375,0.055074,-1
0.048910,-0.793674,-0.691908,-0.425930,-0.157286,-0.137860,-0.835698,0.852089,0.766948,-0.383930,-1
0.153932,0.288551,-0.768775,-0.713690,0.628009,0.121214,-0.527332,0.958861,-0.761837,-0.244582,-1
0.398392,0.161570,-0.710911,-0.386590,0.944816,-0.922379,0.953612,-0.617083,0.757948,0.931682,-1
0.117654,0.077219,0.014258,0.250450,0.389691,0.708200,-0.383679,-0.846295,0.083022,0.028647,-1
-0.415394,-0.712260,0.691051,0.857004,0.847644,-0.379459,-0.692445,-0.421661,0.852316,-0.788153,-1
-0.960667,0.879172,0.784745,-0.646820,-0.006740,0.195540,0.605927,0.465718,0.978442,0.795786,1
0.068168,0.606976,0.518297,-0.700049,-0.906645,0.956185,0.021706,0.218272,-0.386278,0.965309,-1
-0.632682,-0.564884,-0.623899,-0.303027,-0.837436,0.486769,-0.928559,-0.278176,0.942332,-0.618017,-1
-0.193912,0.503337,-0.125957,-0.301961,-0.439571,0.817893,-0.988302,-0.772828,0.784244,0.971102,-1
0.928837,-0.135571,-0.411550,-0.725017,-0.263255,0.768725,-0.721171,-0.852642,-0.711217,-0.538410,-1
-0.093531,0.648085,0.544355,0.585130,-0.927783,-0.893015,-0.371024,-0.374728,-0.709866,0.933637,-1
0.897101,-0.953659,-0.480345,0.329440,0.006112,0.080589,0.761658,0.963875,0.282118,-0.602480,-1
-0.788482,-0.347745,0.829261,-0.520702,0.728028,-0.924679,0.093684,0.966928,-0.215567,0.528920,1
0.936595,-0.252548,-0.336961,-0.597819,0.184827,-0.122441,-0.191040,0.564739,0.812360,0.029508,-1
-0.482695,-0.016105,-0.433600,0.150577,0.291872,0.060613,-0.712663,-0.784862,-0.393662,-0.635419,-1
-0.039877,-0.092648,0.087446,-0.549977,-0.330606,-0.225338,-0.577259,0.414424,-0.843519,-0.497903,-1
0.979707,0.189066,-0.931471,-0.010769,-0.370504,0.670958,0.561109,0.230577,-0.063199,-0.484217,1
0.216901,0.318155,-0.026518,0.276886,-0.015710,0.814768,0.648437,-0.131222,0.308486,0.873909,1
0.992481,-0.325351,-0.716263,0.199857,0.343506,0.532136,0.902247,-0.186716,-0.078872,-0.080749,-1
0.955692,0.085142,0.003810,-0.893518,0.730531,0.649339,0.593506,-0.756205,0.750732,0.032750,1
0.024465,0.403384,-0.996364,-0.687728,0.994141,0.158234,0.230136,-0.717193,0.746845,0.095773,1
-0.750422,0.014775,0.202502,0.228871,0.153236,0.803282,-0.460283,-0.567131,-0.903688,-0.669622,-1
-0.289247,-0.473273,-0.870811,-0.914956,-0.542362,0.167097,-0.808308,0.201097,0.835642,0.735327,-1
-0.921421,-0.941938,-0.232951,-0.475730,-0.736306,0.214952,0.810055,-0.351047,-0.415634,-0.566666,-1
-0.243427,0.672430,0.669155,0.628534,-0.850355,0.409550,0.476158,-0.914786,0.464259,0.118296,-1
-0.216158,0.148707,-0.341341,-0.767711,0.239181,-0.753673,0.266564,0.071124,-0.052094,0.246250,1
0.497342,-0.542890,-0.009474,0.036813,-0.545427,-0.776727,-0.579799,0.437412,0.455115,0.916967,-1
-0.860251,-0.459395,0.868763,0.781986,-0.952167,-0.746841,0.245451,0.036031,0.196225,0.916472,-1
-0.509385,0.262857,0.428112,-0.313383,-0.211059,0.598034,-0.509438,0.050771,0.263450,0.952133,-1
-0.247063,-0.681849,-0.357466,0.302102,0.622886,0.148708,0.818174,-0.982447,-0.555958,-0.725150,1
0.375500,0.796104,0.626246,0.426465,-0.857928,-0.969266,0.932913,0.367312,-0.579754,0.034710,-1
-0.498826,0.503009,-0.963364,-0.752776,-0.523477,0.161557,0.366197,-0.534259,0.319469,0.785445,1
0.131258,0.487635,-0.292493,0.412065,0.643294,0.540053,-0.648229,-0.970193,-0.563708,-0.791928,-1
0.735323,-0.586045,-0.017295,0.629839,0.191966,-0.428588,-0.330662,-0.018670,-0.689356,-0.709202,-1
-0.320168,0.124290,-0.514494,-0.586529,-0.672857,0.833597,0.226405,-0.128580,-0.383806,-0.548778,-1
0.697726,0.952876,0.760362,0.978473,-0.696297,-0.321018,-0.404721,0.610783,-0.386847,-0.679260,-1
0.209108,-0.446382,-0.860037,-0.694726,-0.576695,-0.013663,0.378918,-0.255616,0.264533,-0.059104,1
-0.788820,-0.847265,0.472489,-0.007179,-0.541042,-0.976291,0.066562,-0.889097,0.414532,-0.217057,-1
0.587502,0.998738,0.970785,0.991684,0.848916,0.093781,-0.232226,-0.655992,-0.816908,-0.570106,1
-0.870606,0.519997,0.459508,-0.154632,0.649597,-0.034291,0.314209,0.830538,0.762468,-0.597334,1
0.975588,0.413045,0.557931,0.112440,0.989944,-0.989463,0.995792,-0.910668,-0.791419,-0.240886,-1
-0.725616,-0.888418,-0.959135,-0.821630,-0.327915,-0.158328,0.282681,-0.809509,0.983068,-0.316343,1
-0.303749,0.163808,0.521431,-0.225346,0.826667,-0.644976,-0.924150,0.138731,0.685102,0.180518,-1
0.185268,-0.755483,0.051173,-0.734283,0.519807,-0.114611,0.493230,-0.884566,0.092420,-0.446063,1
-0.578935,0.964277,-0.682948,-0.202467,-0.435733,-0.715969,0.745017,-0.409058,-0.748971,-0.223890,-1
-0.649694,0.864731,0.861908,-0.559179,-0.320581,0.326865,-0.808842,0.007226,-0.264194,0.446631,-1
0.842981,-0.112681,0.961143,-0.855896,0.544268,-0.707599,-0.611901,0.801776,-0.286282,0.979278,-1
0.849131,0.300597,0.726352,0.282011,0.103477,-0.562635,-0.702769,0.357807,-0.789870,0.865956,-1
-0.438733,0.216957,0.683163,0.263888,0.826920,0.413914,0.180156,-0.425739,0.857271,0.245419,1
0.940465,0.377921,-0.233693,-0.363726,-0.052617,0.300676,0.398216,-0.783512,0.176485,0.237916,1
0.456942,0.104148,-0.665696,-0.362355,0.735424,-0.246774,-0.261242,0.987116,-0.400330,0.298431,1
-0.723342,-0.912366,-0.632868,0.856263,0.567528,0.628668,-0.180750,-0.155078,0.043081,0.505396,1
-0.712700,0.884010,-0.035465,0.316934,-0.828753,0.717296,-0.421921,0.367068,0.725573,0.475641,-1
0.556291,-0.218969,-0.778650,0.025796,0.959352,0.148208,-0.066276,0.637620,-0.267620,0.550805,1
0.306067,0.434409,-0.875790,0.505214,-0.849069,-0.229322,-0.271132,0.935213,0.208091,-0.029745,-1
0.819465,0.131123,-0.450185,0.018032,-0.208447,-0.498395,-0.862722,-0.676736,0.406666,0.648211,-1
-0.828967,0.690731,0.879013,0.826896,0.160565,-0.841827,-0.189167,0.087113,0.457139,0.796765,-1
-0.862337,-0.503593,-0.098317,-0.514246,0.771679,-0.897918,0.492849,-0.378050,0.989494,-0.499239,1
-0.768908,0.127659,0.399366,-0.567990,0.101291,-0.182985,0.170056,-0.559239,-0.519341,-0.272845,1
0.757572,0.914366,-0.226165,-0.916499,0.795413,-0.971963,-0.744304,-0.692459,0.464735,0.019983,-1
0.851705,0.751517,-0.542246,0.775405,-0.881805,-0.584185,-0.253048,0.728541,-0.636647,0.128145,-1
-0.596831,0.159752,0.855268,-0.188308,0.394638,0.517417,0.274918,0.377509,-0.412998,-0.108605,1
-0.743958,0.657469,0.938297,0.210228,-0.826325,-0.946544,0.776530,-0.380061,0.063604,0.863804,-1
0.783531,0.525278,-0.501811,-0.599258,-0.635489,-0.954793,0.296787,0.837146,0.145217,0.415810,-1
0.048167,-0.524603,0.954008,-0.493082,0.192460,0.379872,-0.617690,0.823788,0.561351,-0.033948,-1
-0.252416,0.680319,-0.290943,-0.359720,-0.163377,-0.833085,0.519182,0.455246,-0.678587,0.166370,1
-0.094667,0.661109,0.403656,0.605419,-0.335041,0.422935,-0.553165,-0.709577,0.959489,-0.348432,-1
-0.653838,-0.347878,0.044682,0.922747,0.837239,0.716538,-0.576435,-0.533958,-0.407405,-0.412666,-1
-0.531180,0.631419,-0.743589,-0.542968,-0.412174,0.442694,-0.724554,-0.344476,0.462746,-0.048335,-1
0.413410,-0.423369,-0.973286,-0.926476,-0.230927,-0.871628,0.268351,-0.849807,-0.320496,0.025374,1
0.996199,-0.362042,0.337701,-0.711430,-0.779370,0.749039,0.561303,0.090348,0.761063,0.640854,-1
-0.696835,0.001228,-0.870565,0.104866,-0.753414,0.039291,-0.651682,-0.440078,0.615973,0.409306,-1
-0.188587,0.708561,0.921420,0.774399,0.392355,-0.499991,-0.392645,0.337422,-0.974688,-0.175501,-1
-0.237214,0.356744,0.022671,-0.197824,-0.455364,-0.940930,0.302683,-0.393570,-0.560492,-0.354539,1
-0.628963,0.644215,0.766085,0.771201,0.461648,-0.743654,-0.202355,-0.195291,0.860854,-0.689152,1
0.266317,0.705534,-0.803064,-0.550168,0.781853,0.160015,-0.255697,0.011467,-0.174906,0.786201,1
0.927068,-0.162596,-0.073354,0.350949,0.797959,0.918512,-0.589429,-0.855670,-0.564969,-0.962814,-1
0.737576,-0.579137,-0.655562,-0.683579,0.416877,0.670077,0.242664,0.460708,0.731642,-0.775933,1
-0.021710,0.657734,0.804503,-0.412727,-0.817989,0.921573,0.235544,-0.778474,0.775900,-0.532036,-1
-0.097337,-0.282951,0.976433,0.194842,0.551986,0.086185,0.485777,-0.888985,0.244656,-0.061495,1
0.389088,0.138141,-0.613385,-0.508987,-0.827960,-0.996434,0.383373,-0.319506,0.232508,0.300877,-1
-0.501580,-0.538604,0.731405,-0.341964,0.489305,-0.949949,0.326972,-0.301868,0.185263,0.019992,1
0.588555,-0.651711,0.104269,0.375178,-0.862632,0.729657,0.210402,-0.556114,0.538640,-0.774307,-1
-0.392132,0.507292,-0.883494,0.229851,-0.816537,0.583934,0.417888,-0.746194,0.366956,-0.679586,-1
0.848556,-0.763294,-0.475709,0.066067,-0.003499,-0.611458,0.894103,-0.992130,0.560822,0.927402,-1
0.376347,-0.578369,-0.788132,-0.841251,-0.147314,0.154474,0.578522,-0.269814,0.196053,-0.368773,1
0.843801,0.695055,0.953530,0.706847,0.862088,0.342498,-0.088466,-0.762604,-0.187339,0.236240,1
0.874250,0.514573,0.750051,-0.088225,-0.890320,-0.754010,-0.429645,0.581150,-0.070454,0.672548,-1
-0.190135,-0.398661,0.783732,0.036937,0.170353,0.221709,-0.769570,-0.823553,-0.039304,-0.719116,-1
-0.372050,-0.165868,0.192759,-0.099941,-0.217133,-0.942583,0.405598,0.332669,-0.943977,-0.609482,1
-0.009911,0.442525,-0.937766,0.737490,-0.170950,-0.934560,0.840640,0.754855,0.419038,0.863686,-1
0.429362,-0.710092,-0.670586,0.666884,-0.938000,-0.846979,-0.468859,0.420186,0.927692,-0.926142,-1
-0.665138,0.959897,0.720618,0.143947,0.428468,-0.696662,0.107829,0.796465,-0.685589,0.615434,1
-0.413925,0.030340,0.276557,0.529322,0.619052,-0.628561,0.689864,-0.416136,-0.418102,-0.042912,1
-0.558030,-0.742792,-0.622512,0.281021,0.661675,-0.403907,-0.863637,-0.028880,-0.086761,-0.845969,-1
-0.883409,-0.862590,0.758155,0.780218,0.834336,-0.659552,-0.649358,0.408523,-0.296462,-0.014616,-1
0.350183,0.474511,0.912640,0.931524,0.807279,-0.963461,-0.495009,0.009186,0.142117,-0.264712,-1
0.003029,0.255488,0.473510,0.879343,0.336122,0.803066,0.316707,0.692462,0.823524,-0.140758,1
-0.940350,0.385644,-0.609595,-0.551194,-0.484276,-0.597365,0.495049,0.715434,-0.738184,-0.088643,1
-0.529924,0.888246,-0.385916,-0.229640,-0.156250,0.106270,-0.619775,0.613388,0.743453,-0.290617,-1
0.098086,0.426845,0.007928,0.939343,-0.992929,-0.740912,0.764111,0.354664,0.353446,0.994422,-1
0.394460,-0.634726,0.322914,0.098314,0.835509,-0.698481,-0.330969,0.720610,-0.435734,-0.687621,1
-0.903607,-0.187140,0.447088,0.411091,0.932034,-0.708537,-0.354525,0.349101,-0.126015,-0.147797,1
0.234801,0.889032,0.449779,0.514278,-0.065403,0.212595,0.773280,-0.736372,-0.498268,-0.207525,-1
-0.911633,0.626581,-0.778776,-0.492222,-0.894903,0.765541,-0.046697,-0.269636,0.516194,0.909863,-1
0.060556,-0.576788,-0.257992,0.413827,0.316806,-0.040458,0.424386,-0.471145,0.780770,-0.213336,1
-0.325995,0.417098,0.441709,0.746978,0.294268,0.013198,0.919104,0.450139,0.881510,-0.871071,-1
0.834901,-0.602608,0.205983,0.166875,-0.281194,-0.534587,-0.705779,0.608855,-0.040848,-0.748786,-1
0.311820,0.461041,-0.766217,-0.727959,0.600076,-0.466981,-0.996798,-0.631714,-0.665445,0.280458,-1
-0.622871,-0.232549,0.385269,-0.967715,0.020183,-0.403680,0.034640,-0.629600,-0.092489,0.588308,1
0.307002,-0.943371,-0.852595,-0.443304,-0.900393,0.565692,0.329580,-0.309082,0.007484,-0.641020,-1
-0.202749,0.083903,-0.493187,0.370653,0.320394,0.570509,-0.323805,-0.130652,-0.474302,0.044168,-1
0.556515,0.049803,0.823966,0.487233,0.028200,-0.233057,-0.857273,0.489718,0.284273,0.892132,-1
0.148860,0.299175,-0.431143,0.827034,-0.981420,0.920418,-0.234005,-0.220178,-0.901320,-0.213395,-1
0.480359,0.468391,0.014333,0.181051,-0.498934,0.441159,-0.314471,0.723632,0.283749,-0.191355,-1
0.310846,0.514505,-0.815158,0.870339,0.712333,-0.467588,-0.013195,-0.069200,-0.495334,-0.094271,1
0.830583,-0.643656,-0.738908,0.169428,0.966696,-0.040388,0.258466,0.570147,0.028304,-0.712557,1
-0.724231,-0.793091,-0.581673,0.599751,-0.373618,-0.726956,-0.219861,0.826236,0.537831,-0.099112,-1
0.653124,-0.368479,-0.970288,0.667110,-0.421754,0.498639,-0.341837,0.829865,0.083779,-0.766872,-1
0.647586,0.304203,0.903295,0.273716,-0.820911,0.273099,0.556232,-0.601294,-0.082231,0.068937,-1
-0.414147,0.268173,0.764050,-0.764296,0.865578,0.887395,0.593907,-0.392836,-0.683595,0.521378,1
0.537560,-0.606117,-0.383030,0.063843,0.881625,-0.988589,0.493852,0.362385,0.185074,-0.245857,1
