@relation ionosphere-weka.filters.unsupervised.attribute.Standardize

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
0.347937,0,0.423437,0.788674,-0.408182,1.407154,-0.936794,1.670033,-1.850053,1.459323,-2.197836,0.696741,-2.14039,0.028828,-1.842996,-0.832454,-1.686432,-1.105163,-0.881397,-1.61172,-0.085689,-1.569489,0.470404,-0.559088,0.660394,-0.318692,0.33967,0.514463,-0.000252,1.202831,-0.2727,1.298631,-0.883004,1.35554,g
0.347937,0,0.565448,0.07627,0.626556,0.101172,0.704196,0.243533,0.649348,0.352639,0.55338,0.53943,0.492391,0.760633,0.557269,1.076918,0.360249,1.29965,0.244433,1.297044,0.102217,1.27653,-0.033383,1.404544,-0.275226,1.637475,-0.685757,1.469728,-0.488821,1.453395,-0.568982,1.508085,-0.745401,1.453247,g
0.347937,0,0.720619,0.031144,0.662065,-0.090512,0.912253,0.024867,0.9627,-0.414292,0.83812,-0.171195,0.894152,0.107151,0.925912,0.089682,0.852741,0.412284,0.970865,0.359629,1.082689,0.259153,0.903269,0.419951,0.899878,0.581121,0.663669,0.55497,0.880791,0.498091,0.753699,0.583272,0.930573,0.634543,g
-2.865899,0,-3.297799,-2.365858,0.767382,-2.421581,-3.146419,1.691099,-1.009432,-0.374796,0.929584,-2.334276,0.963054,-2.209485,-0.527182,-0.155185,-0.61802,0.007281,-0.57386,0.046284,-2.191921,1.913874,1.055911,-1.787057,-2.413575,2.106585,0.887941,1.944525,-0.657153,0.054938,1.132992,0.980956,-0.66843,-0.030918,b
0.347937,0,0.601674,0.169806,0.493039,-0.228964,0.611271,-0.199521,0.508439,-0.380542,0.653788,-0.092722,0.694469,-0.127596,0.739308,-0.078697,0.592911,0.046394,0.703854,0.092616,0.773865,0.078573,0.728947,0.210303,0.65213,0.183654,0.482249,0.239785,0.83514,0.237054,0.745632,0.145439,0.809941,0.129394,g
0.347937,0,0.720619,2.164823,-3.079797,1.918601,-3.146419,-1.812617,-0.326108,0.060317,-0.027778,-0.171499,-0.27762,-0.073541,0.010295,0.600731,0.560048,-0.072174,-0.209686,1.068677,-0.552115,-0.01601,-1.094338,-0.19883,1.043935,-1.171071,0.887941,-1.691672,1.079303,-0.428571,-0.002859,0.400222,0.917582,0.137657,b
0.347937,0,-1.28859,-0.100517,-1.156208,-0.25149,-1.116596,-0.229209,-1.009432,-0.374796,0.929584,-0.986971,-0.376304,0.337473,-0.527182,-0.155185,-0.61802,0.007281,-0.57386,0.046284,-0.876666,-0.438172,-0.876406,1.826987,-2.413575,1.12329,-0.968551,1.49,-1.055097,-1.913666,-0.835569,-0.519956,-1.047105,-2.032681,b
-2.865899,0,0.720619,2.164823,-3.079797,-2.421581,-3.146419,-2.149516,-1.009432,-0.374796,-0.84505,-0.313329,-2.251418,-2.209485,-0.527182,-0.155185,-0.61802,0.007281,-0.57386,0.046284,-2.191921,1.913874,1.055911,2.004727,-0.68482,0.139995,0.887941,-1.691672,-0.657153,0.054938,-2.366672,-1.939751,-2.581707,-2.166132,b
0.347937,0,-1.824386,0.805619,-1.681405,0.012372,-1.477458,-0.314547,-0.887317,-0.516968,-0.765884,-0.261289,-0.658406,-0.133678,-0.551476,-0.158807,-0.619525,-0.010494,-0.566355,0.043336,-0.549852,-0.011417,-0.602244,0.110769,-0.686013,0.139012,-1.048907,0.125644,-0.656702,0.055036,-0.61684,0.007679,-0.668583,-0.030875,b
0.347937,0,0.30184,0.281215,-1.156208,-0.25149,0.031087,-0.097207,-0.231071,1.691956,-0.164318,1.698666,-0.683383,0.886564,-0.163763,0.125374,-0.661077,1.922121,-1.388178,1.682306,-0.719375,0.732843,-1.305462,0.558635,-2.26791,1.72723,-1.710757,1.730862,-2.39361,1.421169,-2.366672,0.257789,-0.66843,-0.030918,b
0.347937,0,-0.61886,-0.666852,-0.301288,0.230748,-0.327218,0.090849,-0.187704,-0.087745,0.042267,-0.537876,0.238367,-0.359373,0.366361,0.572021,0.280915,0.063203,-0.174669,-0.328305,0.222234,-0.123234,0.273788,0.056167,-0.012524,0.303871,-0.244498,-0.132762,-0.319517,-0.218481,0.029268,-0.280965,-0.508996,-1.098525,g
0.347937,0,0.720619,0.047591,0.767382,0.198717,0.913227,0.275467,0.825656,0.290967,0.694853,0.475629,0.568863,0.823255,0.691439,0.986271,0.449162,1.230321,0.346179,1.259959,0.231827,1.279617,0.07131,1.413967,-0.090405,1.557552,-0.512434,1.442475,-0.322087,1.446387,-0.417849,1.422722,-0.534691,1.494564,g
-2.865899,0,0.720619,-2.365858,0.767382,1.918601,0.913227,1.691099,0.9627,1.691956,0.929584,1.707619,0.963054,-2.209485,1.004615,-2.336826,1.00005,2.020317,1.022903,-1.880216,1.087691,1.913874,1.055911,2.004727,1.043935,-1.826594,0.887941,1.944525,1.079303,-1.913666,1.132992,1.954525,1.244848,-2.166132,b
0.347937,0,0.720619,-1.123568,0.767382,1.918601,0.328963,-2.149516,-1.009432,-0.374796,-0.84505,-0.313329,-0.644182,-0.188763,-2.05898,0.161502,0.257259,-0.784446,-2.170624,-1.003023,-1.699569,1.913874,-0.600356,0.108835,1.043935,1.923594,-0.04942,1.944525,1.079303,-0.340732,-0.167448,1.954525,-1.287987,2.104295,b
0.347937,0,-3.297799,-1.452405,-1.156208,-0.25149,-3.146419,1.009697,-2.727099,1.691956,-0.84505,-0.313329,-0.644182,-0.188763,-0.527182,-0.155185,-0.61802,0.007281,-0.57386,0.046284,-2.191921,-1.945894,-0.600356,0.108835,-0.168977,0.599922,0.887941,1.064801,-0.657153,0.054938,-0.61684,0.007387,-0.66843,-0.030918,b
0.347937,0,0.720619,0.157392,0.19067,-0.515026,0.539618,-0.04338,0.393878,-0.351256,0.151709,-0.470558,0.465936,0.064312,0.370972,-0.068247,0.241677,-0.061485,0.535092,0.371631,0.63963,0.123154,-0.069224,0.220351,0.23697,0.875126,-0.098296,0.452793,-0.393559,0.693711,0.155554,0.375338,0.406201,0.293207,g
0.347937,0,-0.286597,-0.059334,-0.326814,-0.460035,-0.088511,-0.309017,-0.020802,-0.176181,-0.052232,-0.192597,0.253363,-0.430199,0.264573,-0.23451,0.23514,-0.112978,0.309549,0.026267,0.244355,-0.081182,0.212722,0.089137,0.338966,0.139995,-0.018386,0.066793,0.091554,0.121418,0.337606,-0.098829,0.459658,-0.213927,g
0.347937,0,0.389261,0.087461,0.262228,-0.570623,0.59554,-0.336112,0.774184,-0.470321,0.741313,-0.047978,0.660845,-0.05291,0.68764,-0.349984,1.00005,-0.035013,0.969236,0.173779,0.884437,0.00628,0.683598,0.234305,0.964032,0.057359,0.567893,0.128662,1.079303,0.307215,0.899565,-0.201229,1.063967,-0.122882,g
0.347937,0,-0.006393,2.164823,-0.755466,-2.421581,0.913227,1.691099,0.720502,0.264265,-2.032032,1.707619,-0.739347,0.998856,-0.500314,-0.045143,-1.451892,-2.005756,-0.346258,-0.017079,-0.016309,-0.862457,-2.256623,2.004727,0.714106,-1.826594,0.887941,0.014795,1.079303,2.023542,-0.256129,-1.939751,1.244848,2.104295,b
0.347937,0,-0.325415,-0.380763,-0.333219,-0.519952,0.306371,-0.981489,0.43409,-0.225659,-0.378516,-0.750843,0.151159,0.134128,0.167657,-0.41384,0.065906,0.131807,0.224522,-0.480036,0.343858,0.342118,0.099715,0.265189,0.53601,0.525211,-0.014879,-0.099872,-0.388628,-0.462588,0.212983,0.087687,0.199452,-1.131535,g
