@relation C

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute class {1,-1}

@DATA
-0.100469,0.375819,0.545505,-0.394488,-0.149093,0.450587,-0.980445,0.045348,-0.834032,-0.042383,-1
-0.363922,-0.661245,0.414970,0.616272,-0.555466,-0.541410,0.374082,0.985388,-0.113663,0.936859,1
0.159603,0.235981,-0.274655,-0.041664,-0.986235,0.302011,0.799765,0.813016,0.455611,0.026973,-1
0.003039,-0.697672,0.586819,0.187810,-0.614945,0.484431,0.921355,-0.016402,-0.263463,0.585637,-1
-0.443290,0.418521,0.493372,0.254346,0.748943,-0.763434,-0.644379,0.540097,0.083048,-0.249273,-1
-0.667714,0.796508,0.265868,0.978468,0.127184,-0.607660,0.402464,-0.897058,-0.340103,0.436998,1
-0.764019,-0.126510,-0.864699,0.237809,-0.916497,0.389805,-0.970176,-0.280230,0.739418,0.563345,-1
-0.432531,-0.802498,-0.015869,0.167598,-0.076169,0.988349,-0.692072,-0.822278,0.160332,0.154996,-1
0.279544,0.384890,-0.899351,-0.670369,-0.001016,0.979774,0.706498,0.566137,-0.641600,0.909190,1
-0.750066,-0.467655,0.524335,-0.624733,0.992146,0.365571,0.625837,0.663077,0.275010,-0.103893,1
-0.851028,-0.086839,-0.685466,-0.351289,-0.742191,0.207073,0.539609,-0.545947,0.100116,0.157277,-1
-0.262837,-0.304621,-0.442933,-0.531581,0.177263,-0.594602,-0.618096,-0.872375,-0.529893,0.120685,-1
-0.991772,-0.499425,-0.012365,-0.850710,-0.811182,0.447664,-0.122784,-0.027329,-0.276772,-0.959813,-1
0.343051,-0.722493,0.970786,0.371552,0.907528,-0.135653,-0.389511,-0.421687,0.109775,0.990406,1
-0.525296,0.603364,0.966703,0.341066,0.689294,-0.687755,-0.312790,-0.494484,0.024830,-0.730567,1
-0.142556,-0.030753,-0.595899,0.046184,0.452768,0.533107,0.445086,0.727892,-0.627372,0.603264,1
-0.048039,-0.696807,-0.742928,-0.680952,-0.778288,0.417996,0.377777,-0.918253,-0.885943,0.024052,-1
-0.410790,-0.372494,0.359250,-0.707317,-0.088414,0.067701,0.048587,-0.138270,-0.637841,0.649425,1
-0.395561,-0.467304,0.542008,-0.544209,-0.200579,-0.088058,0.962909,0.139967,0.415287,-0.031819,-1
0.761001,-0.231104,0.766444,0.099385,-0.862508,-0.820443,0.932857,-0.502155,-0.428933,0.657625,-1
0.432110,0.739629,0.458044,0.589835,-0.968919,0.021764,0.897265,-0.120863,-0.238952,0.274123,-1
0.046425,-0.145227,0.924985,-0.397042,0.497058,-0.668658,0.051480,-0.198861,0.607160,-0.327128,1
-0.585502,-0.116231,0.851662,-0.313980,-0.362619,-0.261158,-0.364225,0.450385,0.812865,-0.340565,-1
-0.454675,0.082870,-0.060062,0.520709,0.483861,0.568909,0.100130,0.133099,-0.255692,-0.925373,1
-0.531412,0.430234,0.671526,0.430696,-0.143175,0.668074,-0.964204,-0.909611,0.850645,-0.139257,-1
-0.990193,-0.293610,0.176610,-0.965885,0.988824,-0.863030,0.389407,-0.693137,-0.102342,-0.534785,1
0.633935,-0.998811,0.807205,0.095239,-0.642116,-0.418805,-0.457270,0.286007,-0.436473,0.739921,-1
-0.564704,-0.834558,-0.495273,0.746172,0.677813,0.765354,-0.481158,0.388199,-0.195102,0.761111,-1
0.090984,-0.344292,-0.977373,0.003868,0.208526,-0.154946,-0.158705,0.183343,-0.030375,-0.607438,-1
0.377887,0.193745,0.931178,0.754411,0.356422,0.210800,-0.911789,0.330462,-0.564133,-0.039820,-1
-0.988636,-0.574122,-0.974243,-0.166664,0.208298,-0.242982,-0.126928,-0.856950,-0.412800,-0.788988,-1
-0.541393,-0.357882,0.055693,0.623728,0.269382,-0.136979,-0.404400,-0.221037,-0.722881,-0.519134,-1
-0.696010,-0.332425,-0.576911,0.830059,0.368895,0.574939,-0.209804,0.027691,-0.739141,0.829469,-1
0.977274,0.217080,-0.667845,0.723751,-0.169914,0.722415,-0.831729,-0.699245,0.281845,-0.841217,-1
-0.505009,0.606581,0.336175,-0.298509,-0.357406,-0.348232,-0.268026,0.067869,0.067757,-0.580419,-1
-0.918288,-0.293935,-0.351790,0.509673,-0.590360,-0.773104,0.010199,-0.383034,0.426055,0.237562,-1
-0.755102,0.017428,0.842098,-0.404221,0.602656,0.607111,-0.791465,-0.711457,-0.839504,0.291502,-1
-0.613483,-0.531266,0.199481,0.548303,-0.245078,0.014665,0.069558,-0.209485,-0.568622,0.954086,-1
0.162437,0.528505,0.127670,0.392251,0.549931,-0.723232,0.042581,0.617418,-0.527395,0.012101,1
0.983937,-0.284168,0.644228,0.766141,-0.521941,0.824681,-0.359406,0.972925,0.033762,0.630918,-1
-0.558216,0.211805,-0.695458,-0.104849,0.143775,-0.006436,0.339612,-0.692012,0.251621,-0.489545,1
0.165976,-0.447104,-0.584477,0.511787,-0.426724,0.625282,0.469425,0.998175,-0.843741,-0.820736,1
0.332380,0.997214,-0.188824,0.201154,-0.584237,0.747749,-0.522950,-0.828378,0.043112,-0.627837,-1
0.672322,-0.716317,-0.234170,-0.581191,-0.967683,0.499488,0.877876,0.748112,-0.744834,0.796333,-1
-0.262894,-0.413691,-0.581257,0.512743,-0.760840,0.470430,-0.603211,-0.406223,0.099108,0.478097,-1
-0.374572,-0.703869,0.388463,0.949938,-0.361583,0.247570,0.819430,0.328260,0.374615,0.850171,-1
0.918756,0.397509,-0.327903,0.047433,-0.104589,-0.683555,-0.206349,0.620667,0.256475,0.244758,-1
0.232429,0.641914,-0.719692,0.441430,0.053481,0.451888,0.801435,-0.023515,0.124421,0.651950,-1
-0.174137,-0.699117,0.500173,0.870655,-0.394420,0.320871,-0.561476,-0.339183,-0.180092,-0.678102,-1
-0.377562,-0.632416,0.321061,0.784455,0.961008,-0.851631,0.300852,-0.369948,-0.129668,-0.813777,1
