@relation mfeat-weka.filters.unsupervised.attribute.Standardize

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.400451,-1.672838,-1.786378,0.161061,0.044639,0.351233,-0.478291,-0.545468,-0.634036,0.423472,-1.046063,-0.040198,0.949492,-0.214525,-0.752446,-1.620952,0.847783,-0.134474,1.565625,-0.987443,-1.988044,-0.426055,-0.156814,0.35285,-1.818203,-0.463716,-0.868885,-0.40939,0.047299,-0.237304,0.197397,0.514509,-0.949246,-0.188045,-0.545211,-1.244048,-0.231259,-1.115152,0.506584,-1.447704,-0.288449,-1.705101,-1.32585,-0.372244,-1.811465,-1.646897,-1.515247,-0.42534,-1.069625,-1.446064,-1.089151,-0.046785,-0.919789,-0.773105,0.05802,0.082126,-0.387642,-0.863266,-0.182649,-0.563663,-1.189124,-0.638601,-0.868764,0.979018,-0.813819,1.00168,0.095508,-1.758908,-0.365006,-1.032532,0.0127,0.410176,-0.652648,0.382561,0.896148,0.536471,9
-1.639656,1.141241,0.568989,0.58857,0.595365,-0.198613,0.881577,-0.091362,1.550727,2.147377,-0.187144,-0.905647,-0.539213,-0.466555,0.925262,-1.424707,0.405025,-0.439505,2.232695,0.961263,-0.190876,-0.992095,0.972486,0.445095,0.502461,-0.251364,-0.819809,1.606157,0.53652,0.751436,-1.193013,-0.132588,0.71013,0.667372,-0.456846,-0.913674,-0.204602,2.438292,0.354623,0.134339,-1.462159,0.364542,1.565317,0.708859,0.832145,-0.316582,-0.420244,0.733543,0.877384,-0.155862,-0.719509,-0.208992,1.255294,-0.820969,-0.4766,0.291245,1.141452,0.281851,-1.155501,1.004706,1.496728,-0.525139,-0.401968,-0.806173,2.649715,-0.756841,-1.122263,0.181098,0.238021,-1.218219,-0.635504,-0.908355,0.956944,-0.795114,1.044713,-1.181449,5
0.021974,1.892665,-1.007046,2.93903,-1.626705,0.417877,-1.240525,0.373991,-0.807318,-1.108563,-0.222355,0.05697,-1.073547,-0.596987,-0.941629,0.37236,0.433073,-0.506508,0.199648,-0.459052,0.15471,0.709621,-0.696382,-0.621864,0.114076,0.582342,0.207111,-0.791929,-1.008213,0.434449,-0.041623,0.533327,-0.009111,-1.04361,0.74081,0.46141,-0.093646,-0.569987,-0.72544,0.777521,0.048139,-0.101345,-0.139646,-0.701715,0.492617,-0.213653,-0.165056,-0.383827,0.250075,-0.369325,-0.267975,-0.77591,0.163329,-0.07142,-0.285759,-1.072521,0.102857,0.04491,-0.813809,-0.787221,-0.096637,0.521534,-0.303842,-1.072055,-0.099683,0.269907,-0.686329,-0.556561,-0.303702,0.173306,-1.047967,-0.053774,-0.430865,-0.264169,1.519243,0.528826,2
-0.565187,-0.253279,0.976559,-1.665748,0.301203,0.796646,0.080449,-0.095718,0.730824,-0.776761,1.814703,0.044725,-0.866725,-1.111806,0.248135,0.224463,-0.056124,0.461671,-0.562076,-0.929206,0.412954,3.091566,-0.082367,-0.583791,-2.086879,0.112309,-0.222225,0.36129,0.570709,1.718127,-0.981221,1.369651,1.658131,-0.63838,-0.559438,-0.930555,-0.3947,-0.46054,1.222093,1.987741,1.914481,-1.07081,1.702926,0.035424,0.3506,-0.044787,0.62288,1.408635,0.577363,-0.348996,-1.682075,-0.490154,1.266985,0.251027,-0.155306,1.250995,-0.484783,0.64014,-0.876574,-0.631659,0.975806,1.043159,0.250019,-0.448861,-1.099393,-0.375528,-0.419919,-0.379744,-0.396245,0.369236,1.209954,-0.013833,0.341765,-1.34091,0.788906,0.376257,7
-0.473374,0.833658,-0.109132,0.911552,-0.002423,0.054199,1.865392,-1.691035,1.512472,0.321775,0.57602,1.35371,-0.774593,0.981983,-0.640245,0.522025,2.278178,1.066911,1.594105,0.496674,-0.675903,-0.917412,1.755774,2.262314,0.770262,-0.759448,-0.610831,0.523447,1.724662,-0.779295,1.141907,1.151422,-0.078868,-0.494215,-1.526959,0.755843,1.227103,0.650976,-1.154352,0.241085,0.201327,0.510736,0.928754,0.77047,-0.315979,-1.011735,0.333308,1.535517,-1.573497,0.828724,0.626201,0.60757,-0.180174,0.544156,0.868487,-1.363106,1.3047,-0.365562,-0.82788,-0.518054,-0.828639,-1.292997,0.145575,1.167027,-1.581863,0.172419,-0.088565,0.878771,0.255365,0.792543,1.177524,-0.163786,0.558744,-1.896425,0.050435,-0.759678,5
0.045654,-0.819134,-0.834187,-0.129773,-0.500269,-0.736268,-0.277462,-0.639901,-0.025136,0.016716,-0.942647,-0.687487,-0.818827,-0.806685,-1.133713,-0.41205,-0.61406,-0.994952,0.744387,-0.077103,-0.522897,0.219532,-0.634749,-0.312939,-0.626282,-1.031047,-0.812601,-0.36401,-0.196484,-1.842646,-1.908313,-0.865284,-0.444539,0.310076,-1.77331,-1.167922,-1.122026,-0.53247,-1.175705,-1.107565,-0.642477,-1.361006,-1.233065,-0.713534,-1.625911,-0.651503,0.051397,0.979254,-0.841845,0.002263,0.104224,-1.306554,-0.030884,-1.337222,-1.010098,-0.649014,-0.087707,-1.089765,-0.388355,-1.004611,-1.268986,-0.852947,0.651998,0.35354,-1.459961,0.969401,0.75604,-0.417481,-0.7242,-0.63789,-0.178285,-0.0603,-0.763512,0.175363,-0.573515,1.094727,9
-0.812013,0.973505,0.297971,-0.110301,0.252654,-0.198128,-0.30223,0.231986,-1.741591,-0.384581,1.266208,-0.82177,1.031007,-0.174348,-0.434353,0.202416,0.258382,-0.924112,0.52182,1.046131,-0.880851,0.040979,-0.049236,-1.294843,-1.327726,0.398066,0.27277,-0.302395,0.02143,-0.373691,-0.507458,0.165984,0.469439,-0.713934,-0.668972,0.769323,-0.375471,0.720145,-0.090099,0.151383,-0.616825,0.971203,-0.551073,-0.059514,-0.341437,-0.795438,-0.446247,0.465675,-1.0907,0.206118,0.563286,-0.047463,-0.142323,-0.443962,0.084454,0.114498,0.427024,0.0188,-0.812736,-0.737694,-0.7253,-0.176896,0.53313,0.579816,0.435633,-0.193171,0.211698,-0.245957,-0.820913,-0.310515,1.085644,-0.053394,1.444347,0.863907,-0.404791,0.769215,3
1.098915,0.682606,0.599844,0.383666,-1.063744,1.553043,0.052332,0.878281,-1.273046,1.005532,-0.445423,-1.277176,-0.143237,0.643538,1.951187,-0.601054,-0.360992,1.253634,-0.222599,1.434387,0.905871,-0.339273,0.155703,1.256577,-0.289815,1.491905,-1.016684,-0.504108,1.662791,0.03336,0.27005,-0.743081,1.193858,-0.810131,1.008364,-0.491195,-1.065442,1.142038,0.960067,0.837417,1.311531,-1.221707,0.068254,2.45313,0.419659,1.313223,-0.364744,-0.395045,-0.367663,0.497089,0.108366,-0.735978,-0.269654,-0.946707,-1.146705,0.06649,0.938611,-0.195344,-0.824247,-0.23995,0.86523,1.357661,-0.207356,-1.739522,0.910296,-0.243837,-1.323261,-0.1614,0.020433,-1.425905,-0.270313,0.14087,-1.225144,-1.21847,0.728746,-1.041189,4
0.199458,0.731361,0.144751,-0.636985,-0.92847,-0.698532,-0.612467,0.987574,0.590321,0.662932,0.283274,-1.682578,-1.001084,-1.156992,0.906502,0.453337,-0.573162,0.80567,1.230849,1.025008,-0.288485,-0.624887,1.670375,-0.008626,0.638116,-1.527483,-1.187992,0.740277,-0.514929,1.101414,-1.842137,-0.947411,0.451056,0.060691,0.738824,-1.539183,-0.149729,0.44062,0.226157,1.02048,-1.119667,0.911986,0.568687,-0.150808,1.734173,1.462307,-0.704713,-0.615139,0.942716,0.190926,-1.111492,-0.698933,1.989561,1.146456,-1.179306,0.367562,1.385643,-0.112774,-0.352846,-0.463224,1.381407,-0.295403,-1.510733,-0.733539,0.750763,-1.031335,-1.067024,-1.172595,0.200951,-0.03455,-0.45847,-0.410765,-0.089686,-0.437652,1.381183,0.410527,2
0.475648,0.212424,1.581527,-0.297533,-0.018343,0.420736,-1.527366,0.80255,-0.942442,0.72615,0.24647,1.146091,-1.115818,0.409961,-0.822539,1.569814,-0.669648,0.992749,-1.127148,0.334288,-1.51065,0.611131,-0.445768,0.544323,-0.76222,-0.32997,-0.7895,0.832533,-0.35446,-0.449332,-0.257156,1.108745,-0.264622,1.195857,1.086223,0.257755,0.064581,0.134669,-1.019259,-0.332826,0.410502,-0.887939,-0.997819,0.365145,1.008806,0.967926,-0.769083,-0.230609,-0.602428,-0.090923,-0.025196,0.391379,0.088954,-0.645179,0.403568,1.646771,-1.01339,1.853828,0.312936,-0.293151,0.539638,-0.444311,1.047976,0.637436,0.995055,-0.473943,0.318553,-1.146267,-0.925822,-1.041049,1.509837,1.734094,0.988159,1.436329,0.359633,1.225264,3
